Country,Economic status,Coastal population,Waste generation rate (kg/person/day),% Plastic in waste stream,% Inadequately managed waste,% Littered waste,Waste generation (kg/day),Plastic waste generation (kg/day),Inadequately managed plastic waste (kg/day),"Plastic waste littered
 (kg/day)",Mismanaged plastic waste (kg/person/day),"Mismanaged plastic waste in 2010 in tonnes
 (tonnes)",Mismanaged plastic waste in 2015 in tonnes,Region,Plastic waste generation per person(kg/day/person),"GDP per capita",
Spain,HIC,22771488,2.13,12.95,3.91E-08,2,48503269.44,6281173.392,0.002455939,125623.4678,0.0055167,45852.56666,58932.13703,Europe,0.275835,37319.47622,
Sri Lanka,LMI,14568174,5.1,6.95,82.4240062,2,74297687.4,5163689.274,4256119.568,103273.7855,0.29924089,1591178.574,1918669.587,Asia,0.35445,9126.865612,
Sudan,LMI,752529,0.79,12.95,79.592941,2,594497.91,76987.47935,61276.59901,1539.749587,0.083473658,22927.96724,52060.78704,Africa,0.102305,3089.572476,
Suriname,UMI,402263,1.36,11.95,14.5201104,2,547077.68,65375.78276,9492.635832,1307.515655,0.026848483,3942.055293,6394.453846,South America,0.16252,18840.36897,
Svalbard,LMI,2226,0.79,12.95,0.0000173,2,1758.54,227.73093,3.94E-05,4.5546186,0.002046118,1.662450169,3.809839768,Europe,0.102305,,
Sweden,HIC,6202234,1.61,2.95,3.98E-10,2,9985596.74,294575.1038,1.17E-06,5891.502077,0.0009499,2150.398258,5245.349483,Europe,0.047495,47791.37152,
Syria,LMI,3621997,1.37,12.95,65.3228921,2,4962135.89,642596.5978,419762.6822,12851.93196,0.119440909,157904.3342,304959.6676,Asia,0.177415,,
Taiwan,HIC,22211567,2.1,11.95,0.2471505,2,46644290.7,5573992.739,13776.15092,111479.8548,0.005639224,45718.44208,64630.82916,Asia,0.25095,,
Tanzania,LI,6688695,0.26,8.95,83.5224229,2,1739060.7,155645.9327,129999.2541,3112.918653,0.019901068,48585.94305,214195.8619,Africa,0.02327,2006.971326,
Thailand,UMI,26043442,1.2,11.95,73.3949947,2,31252130.4,3734629.583,2741031.184,74692.59166,0.108116422,1027739.178,2179507.611,Asia,0.1434,14399.04451,
The Gambia,LI,1324214,0.53,8.95,83.5560459,2,701833.42,62814.09109,52484.97078,1256.281822,0.04058351,19615.5572,53497.52194,Africa,0.047435,,
Togo,LI,1991642,0.52,10.95,83.5254818,2,1035653.84,113404.0955,94721.31713,2268.08191,0.048698209,35401.13065,96994.48479,Africa,0.05694,1625.545446,
Tokelau,LMI,1379,0.79,12.95,82.3562804,2,1089.41,141.078595,116.1870833,2.8215719,0.086300693,43.43815914,99.54730026,Oceania,0.102305,,
Tonga,LMI,102872,3.71,5.95,77.9167611,2,381655.12,22708.47964,17693.71183,454.1695928,0.176412254,6623.97672,10271.87405,Oceania,0.220745,5166.932054,
Trinidad and Tobago,HIC,1358433,14.4,24.95,3.2804208,2,19561435.2,4880578.082,160103.4986,97611.56165,0.189714959,94065.99698,73512.08065,North America,3.5928,28879.28737,
Tunisia,UMI,7274973,1.2,11.95,59.5340024,2,8729967.6,1043231.128,621077.2449,20864.62256,0.088239759,234308.7816,440700.7016,Africa,0.1434,10113.37035,
Turkey,UMI,34042862,1.77,11.95,16.4892798,2,60255865.74,7200575.956,1187323.117,144011.5191,0.0391076,485937.142,790234.8229,Asia,0.211515,20027.66683,
Turks and Caicos Islands,HIC,22570,2.1,11.95,0.3900019,2,47397,5663.9415,22.08947946,113.27883,0.00599771,49.40943295,69.8486754,North America,0.25095,,
