"ï..Country","Economic.status","Coastal.population","Waste.generation.rate..kg.person.day.","X..Plastic.in.waste.stream","X..Inadequately.managed.waste","X..Littered.waste","Waste.generation..kg.day.","Plastic.waste.generation..kg.day.","Inadequately.managed.plastic.waste..kg.day.","Plastic.waste.littered...kg.day.","Mismanaged.plastic.waste..kg.person.day.","Mismanaged.plastic.waste.in.2010...tonnes.","Mismanaged.plastic.waste.in.2010...tonnes..1","Region"
"Benin","LI",3235418,0.54,7.95,82.847811,2,1747125.72,138896.4947,115072.7054,2777.929895,"0.036425165",43015.4819,119467.2473,"Sub-Saharan Africa"
"Bermuda","HIC",66966,2.1,11.95,2.22e-14,2,140628.6,16805.1177,3.73e-12,336.102354,"0.005019",122.6773592,173.4254074,"North America"
"Bosnia and Herzegovina","UMI",585582,1.2,11.95,40.2663221,2,702698.4,83972.4588,33812.62074,1679.449176,"0.060609906",12954.60552,20201.07419,"Europe & Central Asia"
"Brazil","UMI",74696771,1.03,15.95,8.5244802,2,76937674.13,12271559.02,1046086.619,245431.1805,"0.017290142",471403.9969,954198.0918,"Latin America & Caribbean"
"Bulgaria","UMI",1002695,1.28,11.95,31.474274,2,1283449.6,153372.2272,48272.79503,3067.444544,"0.05120225",18739.18744,25769.97515,"Europe & Central Asia"
"Cambodia","LI",1391254,0.6,10.95,86.9777499,2,834752.4,91405.3878,79502.3496,1828.107756,"0.058458382",29685.61693,62833.76514,"East Asia & Pacific"
"Cameroon","LMI",1986723,0.77,5.95,81.4164091,2,1529776.71,91021.71425,74106.61124,1820.434285,"0.038217228",27713.37162,71863.46344,"Sub-Saharan Africa"
"Canada","HIC",11846863,2.33,3.95,1.17e-09,2,27603190.79,1090326.036,1.28e-05,21806.52072,"0.0018407",7959.380069,14667.58156,"North America"
"Cayman Islands","HIC",51864,2.1,11.95,0.00112,2,108914.4,13015.2708,0.145771033,260.305416,"0.005021811",95.06468327,134.3901722,"Latin America & Caribbean"
"Channel Islands","HIC",153352,2.1,11.95,9.17e-09,2,322039.2,38483.6844,3.53e-06,769.673688,"0.005019",280.9308974,354.9154591,"Europe & Central Asia"
"Chile","UMI",5621550,1.08,10.95,6.9650088,2,6071274,664804.503,46303.69214,13296.09006,"0.010602019",21753.9205,42561.73,"Latin America & Caribbean"
"China","UMI",262892387,1.1,10.95,74.3092106,2,289181625.7,31665388.01,23530299.87,633307.7603,"0.091914444",8819716.784,17814776.52,"East Asia & Pacific"
"Comoros","LI",938595,2.23,8.95,82.8730656,2,2093066.85,187329.4831,155245.6854,3746.589662,"0.169393908",58032.1804,100870.0195,"Sub-Saharan Africa"
"Costa Rica","UMI",2479298,1.36,18.95,16.0472728,2,3371845.28,638964.6806,102536.4054,12779.29361,"0.046511431",42090.23013,75894.87198,"Latin America & Caribbean"
"Cuba","UMI",11333471,0.81,10.95,22.7010929,2,9180111.51,1005222.21,228196.4278,20104.44421,"0.021908634",90629.81829,180453.6922,"Latin America & Caribbean"
"Curacao","HIC",143784,2.1,11.95,0.0321997,2,301946.4,36082.5948,11.61848728,721.651896,"0.005099805",267.6436899,378.3600843,"Latin America & Caribbean"
"Cyprus","HIC",840556,2.07,11.95,0.3998812,2,1739950.92,207924.1349,831.4495259,4158.482699,"0.005936466",1821.325262,2610.824849,"Europe & Central Asia"
"Denmark","HIC",5376386,2.34,1.95,8.17e-11,2,12580743.24,245324.4932,2e-07,4906.489864,"0.0009126",1790.8688,4232.910262,"Europe & Central Asia"
"Djibouti","LMI",621744,0.79,12.95,72.6185435,2,491177.76,63607.51992,46190.85452,1272.150398,"0.076338501",17323.9968,45611.57181,"Middle East & North Africa"
"Dominica","UMI",70138,1.24,11.95,18.6436527,2,86971.12,10393.04884,1937.643931,207.8609768,"0.030589765",783.1092912,1428.462945,"Latin America & Caribbean"
